date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 20cm 지중온도(°C),1.5cm 지중온도(°C),9-9강수(mm),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201601,1,1.125806451612903,33.064516129032256,-3.2000000000000006,53.04516129032256,0.16666666666666666,2.4774193548387093,6.325806451612903,0.7322580645161291,8.493548387096777,0.125,11382.0,4.0,1,0,0,0,1,0,0,0
201602,2,5.0758620689655185,30.724137931034484,0.19310344827586204,52.05172413793103,3.966666666666667,2.755172413793104,6.73103448275862,1.1862068965517245,6.20689655172414,4.76,9864.0,4.0,1,0,0,0,1,0,0,0
201603,3,12.612903225806456,28.22580645161291,7.04516129032258,51.01612903225804,6.750000000000001,2.441935483870968,8.183870967741933,7.409677419354838,7.351612903225808,6.750000000000001,4061.0,1.0,0,1,0,0,0,1,0,0
201604,4,20.316666666666666,30.53333333333333,14.066666666666665,54.75666666666665,6.9818181818181815,2.4200000000000004,7.316666666666667,14.493333333333334,11.246666666666664,6.9818181818181815,3816.0,1.0,0,0,1,0,0,0,1,0
201605,5,25.68709677419355,31.22580645161291,19.55806451612904,56.21935483870967,14.590909090909092,2.367741935483872,9.035483870967745,19.91612903225806,15.412903225806456,14.590909090909092,7170.0,1.0,0,0,1,0,0,0,1,0
201606,6,28.680000000000003,41.1,23.59666666666667,62.86666666666665,4.533333333333334,2.13,7.656666666666667,24.446666666666665,19.27,4.215384615384616,6379.0,2.0,0,0,0,1,0,0,0,1
201607,7,29.822580645161292,54.064516129032256,26.235483870967744,72.86129032258064,17.057142857142857,2.148387096774193,5.174193548387096,26.070967741935483,22.219354838709673,19.87777777777778,12218.0,2.0,0,0,0,1,0,0,0,1
201608,8,32.635483870967754,41.67741935483871,27.99677419354839,63.883870967741935,4.19375,2.0580645161290323,7.616129032258066,28.361290322580647,24.529032258064518,4.792857142857144,22213.0,2.0,0,0,0,1,0,0,0,1
201609,9,27.88999999999999,43.63333333333333,23.08333333333333,64.51333333333334,4.714285714285714,1.9633333333333336,6.386666666666668,23.80333333333333,23.91333333333333,4.714285714285714,5504.0,3.0,0,0,0,1,0,0,0,1
201610,10,21.309677419354838,40.451612903225815,16.080645161290327,62.23225806451613,7.479999999999999,2.119354838709677,6.3129032258064495,18.27096774193549,21.64516129032258,6.2333333333333325,7392.0,3.0,0,0,1,0,0,0,1,0
