date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 해면기압(hPa),5.0cm 지중온도(°C),최저 초상온도(°C),1시간 최다 일사량(MJ/m2),9-9강수(mm),최대 풍속(m/s),최저 기온(°C),평균 30cm 지중온도(°C),평균 5cm 지중온도(°C),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201309,9,25.94333333333333,42.96666666666667,21.75333333333333,62.88666666666666,11.541666666666664,2.236666666666667,6.366666666666667,1014.94,17.606666666666666,14.816666666666665,1.8513333333333333,11.541666666666664,4.616666666666666,18.003333333333334,23.86333333333333,23.22000000000001,312682,3.0,0,0,1,0,0,0,1,0
201310,10,21.235483870967734,36.19354838709677,15.777419354838708,58.36451612903224,2.7,2.4806451612903224,8.061290322580643,1020.1612903225807,18.387096774193548,6.6258064516129025,1.912903225806452,1.6875,4.8096774193548395,10.903225806451614,18.345161290322565,16.238709677419354,27807,3.0,0,0,1,0,0,0,1,0
201311,11,10.660000000000004,37.1,6.149999999999998,58.18666666666668,2.7529411764705887,2.7366666666666672,6.266666666666668,1020.1633333333336,18.413333333333334,-1.49,1.431,3.12,5.683333333333334,2.109999999999999,10.05,6.683333333333333,73212,3.0,0,1,0,0,0,1,0,0
201312,12,3.525806451612904,39.67741935483871,-0.18387096774193573,60.15161290322581,1.9,2.3935483870967738,5.9483870967741925,1022.1935483870973,17.822580645161292,-7.080645161290324,1.2629032258064516,2.0583333333333336,5.22258064516129,-3.4967741935483887,3.961290322580645,1.1612903225806444,41785,4.0,1,0,0,0,1,0,0,0
201401,1,3.5419354838709682,29.48387096774193,-0.6774193548387096,50.07741935483869,1.181818181818182,2.4258064516129045,5.948387096774192,1025.2354838709678,16.75483870967742,-8.109677419354838,1.3403225806451609,1.181818181818182,4.941935483870967,-4.867741935483873,1.2129032258064514,-0.6677419354838707,55396,4.0,1,0,0,0,1,0,0,0
201402,2,6.6035714285714295,32.75,1.9285714285714288,51.98214285714285,2.3142857142857136,2.696428571428572,5.8535714285714295,1025.2607142857144,15.51428571428571,-4.821428571428573,1.6535714285714285,2.7,5.1714285714285735,-1.8107142857142864,2.4222222222222225,1.7821428571428568,52982,4.0,1,0,0,0,1,0,0,0
201403,3,13.058064516129033,33.03225806451613,7.890322580645161,59.83548387096774,0.5538461538461539,3.0290322580645164,6.925806451612903,1019.6225806451613,14.33548387096774,0.2290322580645156,2.048387096774193,0.6,6.441935483870967,3.525806451612904,7.596428571428567,8.225806451612902,54225,1.0,0,1,0,0,0,1,0,0
201404,4,19.63666666666666,36.03333333333333,13.963333333333335,59.87333333333333,4.428571428571429,2.8233333333333333,7.106666666666667,1017.0066666666668,13.673333333333336,5.69,2.296666666666668,3.875,6.113333333333332,9.4,14.111538461538462,15.77,61396,1.0,0,1,0,0,0,1,0,0
201405,5,25.251612903225798,32.83870967741935,18.945161290322574,59.058064516129036,7.0,3.2032258064516133,9.806451612903226,1010.441935483871,13.635483870967743,10.25483870967742,2.7141935483870983,9.0,6.793548387096774,13.796774193548384,18.98181818181818,21.580645161290327,62447,1.0,0,0,1,0,0,0,1,0
201406,6,27.770000000000003,49.06666666666667,23.06333333333333,72.80666666666666,7.007142857142857,2.603333333333333,6.163333333333332,1006.1766666666664,14.033333333333333,17.39,2.3063333333333342,7.546153846153848,5.553333333333336,19.713333333333328,23.041379310344826,25.196666666666665,61899,2.0,0,0,0,1,0,0,0,1
201407,7,30.63548387096775,50.58064516129032,26.1483870967742,74.23548387096773,17.325,2.75483870967742,5.570967741935487,1006.8548387096776,14.99677419354839,20.74838709677419,2.173,15.992307692307696,5.587096774193548,22.925806451612893,25.30322580645161,28.083870967741948,78724,2.0,0,0,0,1,0,0,0,1
201408,8,28.951612903225808,57.225806451612904,25.164516129032265,77.19354838709677,8.639999999999999,2.4483870967741943,4.861290322580646,1007.9806451612902,16.464516129032262,20.04516129032257,1.8141935483870963,8.639999999999999,4.903225806451613,22.116129032258065,24.65483870967741,26.20967741935484,47471,2.0,0,0,0,1,0,0,0,1
201409,9,26.98333333333334,44.9,22.063333333333336,68.5,9.788888888888888,2.0800000000000005,7.1433333333333335,1013.2066666666666,17.436666666666667,13.910000000000005,2.0383333333333336,8.809999999999997,4.5,18.043333333333333,23.05333333333333,23.750000000000004,48324,3.0,0,0,1,0,0,0,1,0
201410,10,21.416129032258066,38.709677419354854,15.635483870967743,63.15806451612902,8.700000000000001,2.441935483870968,7.735483870967742,1019.7354838709678,18.093548387096774,5.574193548387097,1.8793548387096768,5.8000000000000025,5.038709677419355,10.683870967741935,17.354838709677427,16.02258064516129,68245,3.0,0,0,1,0,0,0,1,0
201411,11,13.78666666666667,40.1,8.953333333333337,60.93333333333334,4.15,2.466666666666667,6.47,1021.5233333333333,18.176666666666673,-0.7733333333333335,1.4643333333333337,3.7818181818181817,5.1433333333333335,4.883333333333334,10.533333333333337,8.596666666666668,48920,3.0,0,1,0,0,0,1,0,0
201412,12,1.4967741935483871,36.709677419354854,-2.919354838709677,56.261290322580614,1.11875,2.8483870967741938,6.309677419354838,1024.5387096774189,17.693548387096776,-10.690322580645162,1.3864516129032258,1.3692307692307693,5.741935483870969,-6.7225806451612895,2.154838709677419,-1.058064516129032,41058,4.0,1,0,0,0,1,0,0,0
201501,1,3.583870967741936,37.61290322580645,-0.9354838709677418,56.364516129032275,1.4125,2.6483870967741923,6.235483870967737,1024.6838709677422,16.78064516129032,-8.993548387096773,1.4387096774193546,2.26,5.196774193548388,-4.806451612903227,0.30322580645161296,-0.7709677419354839,80895,4.0,1,0,0,0,1,0,0,0
201502,2,5.960714285714286,34.92857142857143,1.0428571428571425,58.94285714285714,2.8375,2.8678571428571433,6.428571428571429,1022.2035714285713,15.546428571428569,-6.778571428571429,1.6110714285714285,2.5222222222222217,5.653571428571429,-2.8857142857142857,1.3214285714285714,1.0607142857142855,28767,4.0,1,0,0,0,1,0,0,0
201503,3,12.44516129032258,22.35483870967742,6.290322580645161,45.1741935483871,1.6,3.0838709677419347,8.735483870967744,1021.274193548387,14.445161290322584,-4.496774193548388,2.1922580645161287,2.0166666666666666,6.370967741935482,0.980645161290322,5.929032258064518,6.493548387096777,46487,1.0,0,1,0,0,0,1,0,0
201504,4,18.826666666666664,32.23333333333333,13.326666666666664,54.38666666666665,5.03125,3.12,7.1999999999999975,1015.7966666666667,13.710000000000004,4.7,2.2416666666666667,6.0,6.523333333333335,8.403333333333332,12.190000000000005,14.029999999999998,47290,1.0,0,1,0,0,0,1,0,0
