date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),평균 20cm 지중온도(°C),0.5m 지중온도(°C),최대 풍속 풍향(16방위),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201410,10,21.416129032258066,38.709677419354854,15.635483870967743,63.15806451612902,8.700000000000001,2.441935483870968,7.735483870967742,17.261290322580646,19.193548387096776,191.9354838709677,37914.0,3.0,0,0,1,0,0,0,1,0
201411,11,13.78666666666667,40.1,8.953333333333337,60.93333333333334,4.15,2.466666666666667,6.47,10.026666666666666,12.883333333333333,222.33333333333331,26030.0,3.0,0,1,0,0,0,1,0,0
201412,12,1.4967741935483871,36.709677419354854,-2.919354838709677,56.261290322580614,1.11875,2.8483870967741938,6.309677419354838,1.0516129032258068,5.37741935483871,223.2258064516129,8869.0,4.0,1,0,0,0,1,0,0,0
201501,1,3.583870967741936,37.61290322580645,-0.9354838709677418,56.364516129032275,1.4125,2.6483870967741923,6.235483870967737,-0.11612903225806452,2.7032258064516133,227.41935483870967,12155.0,4.0,1,0,0,0,1,0,0,0
201502,2,5.960714285714286,34.92857142857143,1.0428571428571425,58.94285714285714,2.8375,2.8678571428571433,6.428571428571429,1.248148148148148,2.6392857142857147,230.35714285714286,13497.0,4.0,1,0,0,0,1,0,0,0
201503,3,12.44516129032258,22.35483870967742,6.290322580645161,45.1741935483871,1.6,3.0838709677419347,8.735483870967744,6.448387096774192,6.683870967741938,256.45161290322585,24718.0,1.0,0,1,0,0,0,1,0,0
201504,4,18.826666666666664,32.23333333333333,13.326666666666664,54.38666666666665,5.03125,3.12,7.1999999999999975,13.16,12.393333333333333,189.33333333333331,41824.0,1.0,0,1,0,0,0,1,0,0
201505,5,24.887096774193548,30.35483870967742,18.883870967741935,52.78064516129031,4.128571428571428,2.9548387096774205,9.367741935483872,20.33870967741936,18.148387096774194,243.54838709677415,43557.0,1.0,0,0,1,0,0,0,1,0
201506,6,29.46333333333333,35.4,23.586666666666666,59.80999999999998,8.25,2.546666666666667,8.603333333333332,24.550000000000004,23.21071428571429,225.66666666666663,25700.0,2.0,0,0,0,1,0,0,0,1
201507,7,30.02580645161289,50.38709677419354,25.83548387096775,71.15483870967742,14.125,2.841935483870968,5.680645161290323,26.28275862068965,25.3,195.16129032258064,37864.0,2.0,0,0,0,1,0,0,0,1
