date,month,최고 기온(°C),최소 상대습도(%),평균 기온(°C),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),합계 소형증발량(mm),5.0cm 지중온도(°C),가조시간(hr),최대 순간풍속(m/s),평균 지면온도(°C),최대 풍속(m/s),target,season,tp_1_0,tp_1_1,tp_1_2,tp_1_3,tp_2_0,tp_2_1,tp_2_2,tp_2_3
201210,10,20.503225806451614,31.903225806451612,15.348387096774195,58.17741935483871,11.033333333333333,2.283870967741936,7.593548387096777,3.2354838709677414,19.246666666666673,11.22258064516129,7.8741935483870975,16.158064516129038,4.935483870967742,25009,3.0,0,0,1,0,0,0,1,0
201211,11,9.516666666666664,36.833333333333336,5.540000000000001,57.24,4.52,2.72,6.036666666666667,1.9,18.883333333333336,10.176666666666666,9.263333333333334,5.306666666666667,5.503333333333333,31214,3.0,0,1,0,0,0,1,0,0
201212,12,-0.5193548387096775,38.67741935483871,-4.119354838709678,57.0290322580645,3.1846153846153844,2.7258064516129035,6.2451612903225815,1.116129032258064,17.99032258064516,9.635483870967745,8.674193548387096,-1.890322580645161,5.5580645161290345,18881,4.0,1,0,0,0,1,0,0,0
201301,1,0.3354838709677418,38.548387096774185,-3.4322580645161285,57.0774193548387,2.21,2.670967741935484,5.409677419354837,1.5612903225806452,16.648387096774194,9.916129032258066,7.9548387096774205,-2.041935483870968,5.190322580645162,24092,4.0,1,0,0,0,1,0,0,0
201302,2,2.775,30.285714285714285,-1.2392857142857143,53.62857142857143,5.700000000000001,2.8821428571428567,6.685714285714284,1.7392857142857143,15.217857142857143,10.821428571428573,8.985714285714286,0.3642857142857143,5.703571428571428,13630,4.0,1,0,0,0,1,0,0,0
201303,3,10.83548387096774,25.258064516129032,5.135483870967743,49.1741935483871,3.4125,3.032258064516129,8.267741935483869,3.1193548387096763,13.874193548387098,11.974193548387095,9.512903225806454,7.029032258064518,6.1,18866,1.0,0,1,0,0,0,1,0,0
201304,4,14.98,28.36666666666667,10.006666666666666,53.97666666666667,4.78,3.4266666666666663,7.1066666666666665,3.7033333333333336,12.986666666666665,13.18,11.19,11.503333333333336,6.920000000000003,26787,1.0,0,1,0,0,0,1,0,0
201305,5,23.58709677419355,35.87096774193548,18.22258064516129,57.783870967741926,12.0,2.9,7.6806451612903235,4.612903225806452,12.780645161290321,14.203225806451616,8.63548387096774,20.212903225806453,5.861290322580645,21395,1.0,0,0,1,0,0,0,1,0
201306,6,29.236666666666668,39.7,24.41000000000001,60.10999999999998,2.83,2.2299999999999995,7.466666666666666,5.343333333333332,13.186666666666667,14.73666666666667,7.743333333333334,28.15,4.9300000000000015,32152,2.0,0,0,0,1,0,0,0,1
201307,7,28.33548387096775,63.54838709677418,25.519354838709678,79.25483870967744,26.00769230769231,3.3516129032258064,3.258064516129032,2.8096774193548386,14.999999999999995,14.47096774193548,10.616129032258062,26.37419354838709,6.790322580645161,31296,2.0,0,0,0,1,0,0,0,1
201308,8,31.08709677419354,48.935483870967744,27.69677419354839,69.33870967741936,9.906666666666666,2.7741935483870965,7.029032258064516,4.380645161290324,16.474193548387095,13.587096774193547,8.732258064516131,29.451612903225808,5.564516129032258,48459,2.0,0,0,0,1,0,0,0,1
201309,9,25.94333333333333,42.96666666666667,21.75333333333333,62.88666666666666,11.541666666666664,2.236666666666667,6.366666666666667,3.6433333333333318,17.606666666666666,12.430000000000005,7.63,24.12,4.616666666666666,23766,3.0,0,0,1,0,0,0,1,0
201310,10,21.235483870967734,36.19354838709677,15.777419354838708,58.36451612903224,2.7,2.4806451612903224,8.061290322580643,3.1,18.387096774193548,11.229032258064514,8.035483870967742,16.41935483870968,4.8096774193548395,24073,3.0,0,0,1,0,0,0,1,0
201311,11,10.660000000000004,37.1,6.149999999999998,58.18666666666668,2.7529411764705887,2.7366666666666672,6.266666666666668,2.0,18.413333333333334,10.179999999999998,9.259999999999998,5.7733333333333325,5.683333333333334,33703,3.0,0,1,0,0,0,1,0,0
