예보시각,관광기후지수,관광기후지수등급,평균기온,최고기온,최고기온시각,최저기온,최저기온시각,일교차,강수량(mm),1시간최다강수량(mm),1시간최다강수량시각,일조합,일조율,일사합,평균습도(%rh),최저습도(%rh),평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),최대순간풍속(m/s),최대순간풍속풍향(deg),최대순간풍속시각,최대풍속시각,year_month_day,year_month,month_day,year,month,date,day
2020-03-11,-0.15319999999999995,2.0,3.8,8.3,1454,0.0,658,8.3,0.0,0.0,0,11.2,94.9,20.72,41.8,24.0,3.3,5.5,320.0,9.6,290.0,1006,956,20200311,202003,311,2020,3,11,Wednesday
2020-03-12,-0.13239999999999996,1.68,6.8,13.3,1435,0.2,638,13.1,0.0,0.0,0,8.1,68.6,14.32,49.8,19.0,2.5,5.4,230.0,10.2,290.0,1632,1624,20200312,202003,312,2020,3,12,Thursday
2020-03-13,-0.2380000000000001,1.84,4.9,8.7,1427,-0.1,2400,8.8,0.5,0.0,0,9.7,81.5,17.82,41.0,18.0,3.3,5.4,340.0,9.1,340.0,1954,1959,20200313,202003,313,2020,3,13,Friday
2020-03-14,-0.2268,1.44,3.6,8.6,1440,-2.7,642,11.3,0.0,0.0,0,10.0,84.0,18.6,48.1,25.0,3.0,6.8,230.0,11.9,230.0,1400,1543,20200314,202003,314,2020,3,14,Saturday
2020-03-15,-0.5208000000000002,1.0,4.0,8.5,1327,0.2,2335,8.3,0.0,0.0,0,8.5,71.4,17.29,48.3,19.0,3.6,7.8,320.0,14.4,270.0,1533,1507,20200315,202003,315,2020,3,15,Sunday
2020-03-16,-0.03480000000000001,2.0,3.6,9.1,1510,-2.1,638,11.2,0.0,0.0,0,11.3,94.2,21.18,42.4,17.0,2.8,5.2,250.0,9.8,200.0,1711,1634,20200316,202003,316,2020,3,16,Monday
2020-03-17,-0.23799999999999996,1.44,6.6,12.3,1537,3.1,46,9.2,0.0,0.0,0,4.2,35.0,6.89,65.8,50.0,2.1,5.2,230.0,9.0,230.0,1810,1614,20200317,202003,317,2020,3,17,Tuesday
2020-03-18,0.08240000000000001,2.04,10.0,17.0,1550,2.7,726,14.3,0.0,0.0,0,11.1,91.7,20.66,45.8,16.0,1.8,4.4,230.0,8.1,200.0,1530,1538,20200318,202003,318,2020,3,18,Wednesday
2020-03-19,-0.9488000000000004,1.0,9.1,12.1,641,5.8,2400,6.3,0.0,0.0,0,7.7,63.6,15.51,49.0,27.0,4.8,8.2,250.0,16.3,270.0,1130,1636,20200319,202003,319,2020,3,19,Thursday
2020-03-20,-0.14999999999999994,2.0,8.8,14.0,1421,3.1,641,10.9,0.0,0.0,0,11.0,90.9,20.58,39.6,15.0,3.1,6.6,270.0,13.0,230.0,1547,1450,20200320,202003,320,2020,3,20,Friday
2020-03-21,-0.4583999999999999,1.0,12.8,19.5,1538,7.9,107,11.6,0.0,0.0,0,6.1,50.0,14.83,56.5,36.0,2.0,5.1,290.0,8.6,320.0,1819,1821,20200321,202003,321,2020,3,21,Saturday
2020-03-22,0.05480000000000002,2.0,11.0,16.5,1402,6.1,631,10.4,0.0,0.0,0,11.6,95.1,22.54,37.5,13.0,3.0,5.6,320.0,10.2,320.0,1455,1248,20200322,202003,322,2020,3,22,Sunday
2020-03-23,0.07240000000000003,2.0,10.6,17.0,1507,5.4,516,11.6,0.0,0.0,0,11.5,93.5,20.72,37.9,20.0,1.9,4.8,270.0,9.6,320.0,1544,1641,20200323,202003,323,2020,3,23,Monday
2020-03-24,0.17320000000000005,3.0,11.4,17.9,1444,5.3,558,12.6,0.0,0.0,0,11.5,93.5,21.06,35.0,15.0,1.8,4.0,200.0,7.0,290.0,1656,1254,20200324,202003,324,2020,3,24,Tuesday
2020-03-25,0.09680000000000001,2.64,12.5,19.2,1401,6.1,644,13.1,0.0,0.0,0,9.2,74.2,19.29,33.6,17.0,1.9,5.3,320.0,8.3,290.0,1547,1632,20200325,202003,325,2020,3,25,Wednesday
2020-03-26,-0.36279999999999996,1.0,14.8,20.6,1330,8.1,622,12.5,1.8,0.0,0,4.3,34.7,11.97,53.8,24.0,1.9,5.3,160.0,7.3,180.0,1743,1746,20200326,202003,326,2020,3,26,Thursday
2020-03-27,-0.2864000000000001,1.16,11.9,15.8,1512,6.7,2357,9.1,2.0,0.0,0,7.4,59.7,17.04,56.4,27.0,3.3,5.8,320.0,10.3,250.0,1624,1129,20200327,202003,327,2020,3,27,Friday
2020-03-28,-0.16119999999999993,2.0,7.7,12.8,1522,4.5,622,8.3,0.0,0.0,0,9.1,72.8,19.87,17.9,11.0,3.2,5.5,340.0,10.1,360.0,558,641,20200328,202003,328,2020,3,28,Saturday
2020-03-29,0.11,3.0,8.7,16.1,1520,1.3,632,14.8,0.0,0.0,0,11.6,92.8,23.12,30.6,16.0,2.0,4.6,290.0,7.4,270.0,1638,1729,20200329,202003,329,2020,3,29,Sunday
2020-03-30,0.11560000000000002,2.48,10.2,16.9,1542,4.3,658,12.6,0.0,0.0,0,11.7,93.6,22.73,38.4,14.0,1.8,4.1,270.0,6.8,290.0,1340,1801,20200330,202003,330,2020,3,30,Monday
2020-03-31,0.09840000000000006,2.64,11.9,18.6,1401,4.7,622,13.9,0.0,0.0,0,10.0,79.4,20.68,34.5,15.0,2.0,4.4,290.0,7.4,340.0,1403,1521,20200331,202003,331,2020,3,31,Tuesday
2020-04-01,0.048800000000000024,2.08,11.3,17.4,1350,6.0,2358,11.4,0.0,0.0,0,8.6,68.3,19.12,35.6,17.0,3.7,7.3,270.0,11.9,290.0,1520,1437,20200401,202004,401,2020,4,1,Wednesday
2020-04-02,-0.18240000000000006,2.0,9.3,15.5,1315,3.4,613,12.1,0.0,0.0,0,10.6,83.5,21.25,41.4,15.0,2.3,5.5,270.0,9.8,270.0,1502,1533,20200402,202004,402,2020,4,2,Thursday
2020-04-03,0.15439999999999995,3.0,10.0,16.3,1434,5.3,504,11.0,0.0,0.0,0,10.7,84.3,22.56,53.8,23.0,2.7,5.7,270.0,9.4,290.0,1611,1628,20200403,202004,403,2020,4,3,Friday
2020-04-04,-0.09400000000000003,2.0,8.9,13.3,1505,5.0,2358,8.3,0.0,0.0,0,10.4,81.3,23.33,36.4,10.0,3.4,6.3,290.0,12.8,270.0,1650,1657,20200404,202004,404,2020,4,4,Saturday
2020-04-05,-0.026800000000000004,2.0,7.2,13.7,1516,1.9,605,11.8,0.0,0.0,0,12.1,94.5,24.58,29.5,13.0,2.8,5.4,230.0,9.7,200.0,1638,1629,20200405,202004,405,2020,4,5,Sunday
2020-04-06,0.07080000000000003,2.0,9.3,16.1,1348,2.9,601,13.2,0.0,0.0,0,11.4,89.1,22.51,38.3,18.0,2.4,5.9,270.0,10.2,250.0,1508,1516,20200406,202004,406,2020,4,6,Monday
2020-04-07,0.05080000000000001,2.0,10.6,16.8,1416,6.0,430,10.8,0.0,0.0,0,9.0,69.8,19.3,56.6,32.0,2.5,5.1,270.0,8.4,200.0,1639,1524,20200407,202004,407,2020,4,7,Tuesday
2020-04-08,-0.010000000000000002,2.0,9.4,14.2,1557,5.2,457,9.0,0.0,0.0,0,12.3,95.3,24.86,25.5,13.0,3.5,5.9,340.0,11.2,340.0,1214,1124,20200408,202004,408,2020,4,8,Wednesday
2020-04-09,-0.09439999999999998,2.0,8.9,14.7,1437,4.3,604,10.4,0.0,0.0,0,11.8,91.5,24.79,44.6,30.0,2.8,5.7,250.0,10.2,250.0,1529,1707,20200409,202004,409,2020,4,9,Thursday
2020-04-10,-0.04680000000000001,2.0,10.7,16.8,1527,5.8,520,11.0,0.0,0.0,0,9.2,70.8,21.07,52.6,32.0,2.4,4.1,290.0,7.5,290.0,1557,1619,20200410,202004,410,2020,4,10,Friday
2020-04-11,-0.015599999999999994,2.0,9.9,16.0,1441,6.2,630,9.8,0.0,0.0,0,8.8,67.7,19.4,63.8,39.0,2.5,4.9,270.0,8.6,230.0,1444,1804,20200411,202004,411,2020,4,11,Saturday
2020-04-12,-0.2280000000000001,1.56,9.9,15.6,1136,4.4,617,11.2,0.0,0.0,0,8.3,63.4,19.25,58.6,39.0,3.8,7.4,90.0,13.4,70.0,1326,1333,20200412,202004,412,2020,4,12,Sunday
2020-04-13,0.2188000000000001,3.0,12.4,20.4,1617,4.3,617,16.1,0.0,0.0,0,12.2,93.1,26.02,39.4,16.0,3.1,5.5,50.0,9.8,90.0,1244,1536,20200413,202004,413,2020,4,13,Monday
2020-04-14,0.2148000000000001,3.0,13.0,19.6,1351,7.6,631,12.0,0.0,0.0,0,12.1,92.4,25.93,46.8,23.0,2.4,5.3,270.0,10.0,250.0,1437,1501,20200414,202004,414,2020,4,14,Tuesday
2020-04-15,0.3132,3.2,13.2,20.2,1510,7.2,609,13.0,0.0,0.0,0,10.0,75.8,21.49,39.8,25.0,2.2,5.6,290.0,9.2,290.0,1528,1645,20200415,202004,415,2020,4,15,Wednesday
2020-04-16,0.3048,3.08,16.0,23.8,1535,8.9,353,14.9,0.0,0.0,0,10.6,80.3,22.96,39.9,23.0,2.3,4.5,320.0,8.0,320.0,1753,1800,20200416,202004,416,2020,4,16,Thursday
2020-04-17,-0.8472,1.0,12.5,15.4,201,10.4,959,5.0,6.5,3.9,1238,0.3,2.3,4.23,77.8,45.0,2.4,4.8,140.0,9.4,160.0,820,828,20200417,202004,417,2020,4,17,Friday
2020-04-18,-0.15999999999999998,2.0,13.5,19.6,1455,8.5,632,11.1,0.0,0.0,0,10.4,78.2,23.09,67.9,44.0,2.6,4.8,270.0,8.0,290.0,1636,1656,20200418,202004,418,2020,4,18,Saturday
2020-04-19,-0.588,1.0,12.3,15.5,1332,9.5,2300,6.0,10.3,2.9,1712,0.3,2.3,5.25,75.8,51.0,2.7,5.2,90.0,8.6,70.0,2044,2037,20200419,202004,419,2020,4,19,Sunday
