baseYmd,daywkDivCd,daywkDivNm,signguCode,signguNm,touDivCd,touDivNm,touNum
20210426,1,월요일,42730,횡성군,1,현지인(a),22739.5
20210426,1,월요일,42730,횡성군,2,외지인(b),22270.5
20210426,1,월요일,42730,횡성군,3,외국인(c),17.88857143
20210426,1,월요일,42750,영월군,1,현지인(a),18046
20210426,1,월요일,42750,영월군,2,외지인(b),13174
20210426,1,월요일,42760,평창군,1,현지인(a),27401.5
20210426,1,월요일,42760,평창군,2,외지인(b),27580
20210426,1,월요일,42760,평창군,3,외국인(c),12.94159292
20210426,1,월요일,42770,정선군,1,현지인(a),22603
20210426,1,월요일,42770,정선군,2,외지인(b),13156.5
20210426,1,월요일,42770,정선군,3,외국인(c),4.02
20210426,1,월요일,42780,철원군,1,현지인(a),27534.5
20210426,1,월요일,42780,철원군,2,외지인(b),16565.5
20210426,1,월요일,42780,철원군,3,외국인(c),1.48
20210426,1,월요일,42790,화천군,1,현지인(a),17209.5
20210426,1,월요일,42790,화천군,2,외지인(b),12540.5
20210426,1,월요일,42790,화천군,3,외국인(c),2.3
20210426,1,월요일,42800,양구군,1,현지인(a),16436
20210426,1,월요일,42800,양구군,2,외지인(b),8907.5
20210426,1,월요일,42800,양구군,3,외국인(c),3.272340426
20210426,1,월요일,42810,인제군,1,현지인(a),21287
20210426,1,월요일,42810,인제군,2,외지인(b),17976
20210426,1,월요일,42820,고성군,1,현지인(a),20909
20210426,1,월요일,42820,고성군,2,외지인(b),23999.5
20210426,1,월요일,42820,고성군,3,외국인(c),10.16065574
20210426,1,월요일,42830,양양군,1,현지인(a),27093.5
20210426,1,월요일,42830,양양군,2,외지인(b),27660.5
20210426,1,월요일,42830,양양군,3,외국인(c),4.674594595
20210426,1,월요일,43111,청주시 상당구,1,현지인(a),89050.5
20210426,1,월요일,43111,청주시 상당구,2,외지인(b),68498.5
20210426,1,월요일,43111,청주시 상당구,3,외국인(c),22.94005747
20210426,1,월요일,43112,청주시 서원구,1,현지인(a),88844
20210426,1,월요일,43112,청주시 서원구,2,외지인(b),69132
20210426,1,월요일,43112,청주시 서원구,3,외국인(c),98.58691689
20210426,1,월요일,43113,청주시 흥덕구,1,현지인(a),113407
20210426,1,월요일,43113,청주시 흥덕구,2,외지인(b),81242
20210426,1,월요일,43113,청주시 흥덕구,3,외국인(c),114.4812314
20210426,1,월요일,43114,청주시 청원구,1,현지인(a),87815
20210426,1,월요일,43114,청주시 청원구,2,외지인(b),60284
20210426,1,월요일,43114,청주시 청원구,3,외국인(c),72.22754717
20210426,1,월요일,43130,충주시,1,현지인(a),148753.5
20210426,1,월요일,43130,충주시,2,외지인(b),52752
20210426,1,월요일,43130,충주시,3,외국인(c),61.78239186
20210426,1,월요일,43150,제천시,1,현지인(a),61575.5
20210426,1,월요일,43150,제천시,2,외지인(b),28885.5
20210426,1,월요일,43150,제천시,3,외국인(c),51.06042951
20210426,1,월요일,43720,보은군,1,현지인(a),18116
20210426,1,월요일,43720,보은군,2,외지인(b),11966.5
20210426,1,월요일,43720,보은군,3,외국인(c),4.24
20210426,1,월요일,43730,옥천군,1,현지인(a),33733
20210426,1,월요일,43730,옥천군,2,외지인(b),22449
20210426,1,월요일,43730,옥천군,3,외국인(c),5.606666667
20210426,1,월요일,43740,영동군,1,현지인(a),31552.5
20210426,1,월요일,43740,영동군,2,외지인(b),13100.5
20210426,1,월요일,43740,영동군,3,외국인(c),7.527272727
20210426,1,월요일,43745,증평군,1,현지인(a),23863
20210426,1,월요일,43745,증평군,2,외지인(b),14010.5
20210426,1,월요일,43750,진천군,1,현지인(a),41835.5
20210426,1,월요일,43750,진천군,2,외지인(b),33022.5
20210426,1,월요일,43750,진천군,3,외국인(c),26.63714286
20210426,1,월요일,43760,괴산군,1,현지인(a),16996
20210426,1,월요일,43760,괴산군,2,외지인(b),17727.5
20210426,1,월요일,43760,괴산군,3,외국인(c),12.70758621
20210426,1,월요일,43770,음성군,1,현지인(a),56941.5
20210426,1,월요일,43770,음성군,2,외지인(b),40708.5
20210426,1,월요일,43770,음성군,3,외국인(c),62.09832869
20210426,1,월요일,43800,단양군,1,현지인(a),17531.5
20210426,1,월요일,43800,단양군,2,외지인(b),13468
20210426,1,월요일,43800,단양군,3,외국인(c),5.88
20210426,1,월요일,44131,천안시 동남구,1,현지인(a),122360
20210426,1,월요일,44131,천안시 동남구,2,외지인(b),95917.5
20210426,1,월요일,44131,천안시 동남구,3,외국인(c),44.90047923
20210426,1,월요일,44133,천안시 서북구,1,현지인(a),121919
20210426,1,월요일,44133,천안시 서북구,2,외지인(b),86677.5
20210426,1,월요일,44133,천안시 서북구,3,외국인(c),103.5390476
20210426,1,월요일,44150,공주시,1,현지인(a),48212.5
20210426,1,월요일,44150,공주시,2,외지인(b),53392.5
20210426,1,월요일,44150,공주시,3,외국인(c),11.59714286
20210426,1,월요일,44180,보령시,1,현지인(a),73503.5
20210426,1,월요일,44180,보령시,2,외지인(b),30898
20210426,1,월요일,44180,보령시,3,외국인(c),43.23466667
20210426,1,월요일,44200,아산시,1,현지인(a),156222.5
20210426,1,월요일,44200,아산시,2,외지인(b),75365.5
20210426,1,월요일,44200,아산시,3,외국인(c),84.82390667
20210426,1,월요일,44210,서산시,1,현지인(a),107933
20210426,1,월요일,44210,서산시,2,외지인(b),48555.5
20210426,1,월요일,44210,서산시,3,외국인(c),58.34610778
20210426,1,월요일,44230,논산시,1,현지인(a),71456
20210426,1,월요일,44230,논산시,2,외지인(b),38006.5
20210426,1,월요일,44230,논산시,3,외국인(c),7.821428571
20210426,1,월요일,44250,계룡시,1,현지인(a),24885
20210426,1,월요일,44250,계룡시,2,외지인(b),11725
20210426,1,월요일,44250,계룡시,3,외국인(c),1.25
20210426,1,월요일,44270,당진시,1,현지인(a),107390.5
20210426,1,월요일,44270,당진시,2,외지인(b),47124
20210426,1,월요일,44270,당진시,3,외국인(c),109.6307692
20210426,1,월요일,44710,금산군,1,현지인(a),35686
20210426,1,월요일,44710,금산군,2,외지인(b),19670
20210426,1,월요일,44710,금산군,3,외국인(c),1.25
20210426,1,월요일,44760,부여군,1,현지인(a),47624.5
20210426,1,월요일,44760,부여군,2,외지인(b),21192.5
20210426,1,월요일,44760,부여군,3,외국인(c),6.585294118
20210426,1,월요일,44770,서천군,1,현지인(a),36701
20210426,1,월요일,44770,서천군,2,외지인(b),19068
20210426,1,월요일,44770,서천군,3,외국인(c),5.758518519
20210426,1,월요일,44790,청양군,1,현지인(a),16709
20210426,1,월요일,44790,청양군,2,외지인(b),9639
20210426,1,월요일,44790,청양군,3,외국인(c),2.58
20210426,1,월요일,44800,홍성군,1,현지인(a),52160.5
20210426,1,월요일,44800,홍성군,2,외지인(b),28308
20210426,1,월요일,44800,홍성군,3,외국인(c),9.341754386
20210426,1,월요일,44810,예산군,1,현지인(a),50204
20210426,1,월요일,44810,예산군,2,외지인(b),30964.5
20210426,1,월요일,44810,예산군,3,외국인(c),8.005490196
20210426,1,월요일,44825,태안군,1,현지인(a),54607
20210426,1,월요일,44825,태안군,2,외지인(b),35304.5
20210426,1,월요일,44825,태안군,3,외국인(c),152.6972753
20210426,1,월요일,45111,전주시 완산구,1,현지인(a),210934.5
20210426,1,월요일,45111,전주시 완산구,2,외지인(b),84045.5
20210426,1,월요일,45111,전주시 완산구,3,외국인(c),36.65259939
20210426,1,월요일,45113,전주시 덕진구,1,현지인(a),168150.5
20210426,1,월요일,45113,전주시 덕진구,2,외지인(b),81193
20210426,1,월요일,45113,전주시 덕진구,3,외국인(c),22.70777143
20210426,1,월요일,45130,군산시,1,현지인(a),193606
20210426,1,월요일,45130,군산시,2,외지인(b),53060
20210426,1,월요일,45130,군산시,3,외국인(c),216.2270792
