"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강북구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"서울특별시 강북구 미아동","2**","다가구","12m미만","164.47","145.8","201610","28","80,000","1975","솔매로45길",""
"서울특별시 강북구 미아동","7*","다가구","8m미만","298.1","146","201610","5","152,000","1997","도봉로10다길",""
"서울특별시 강북구 미아동","7**","다가구","12m미만","165.84","149","201608","31","40,000","1982","인수봉로12길",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","236.16","149.8","201609","2","77,000","1989","솔매로45길",""
"서울특별시 강북구 미아동","2**","다가구","8m미만","299.79","150.1","201609","5","88,500","1995","솔매로41길",""
"서울특별시 강북구 미아동","*","다가구","25m미만","380.8","154","201604","8","109,000","1992","오패산로",""
"서울특별시 강북구 미아동","4**","다가구","8m미만","230.9","159","201602","17","62,400","1990","솔샘로64다길",""
"서울특별시 강북구 미아동","1**","다가구","8m미만","384.88","161.3","201608","8","74,000","1993","도봉로18길",""
"서울특별시 강북구 미아동","8*","다가구","8m미만","80.56","165","201609","26","45,000","1972","오패산로31길",""
"서울특별시 강북구 미아동","7**","다가구","12m미만","273.82","165","201608","31","73,000","1992","인수봉로12길",""
"서울특별시 강북구 미아동","4**","다가구","8m미만","298.56","168","201604","12","71,500","1995","도봉로13길",""
"서울특별시 강북구 미아동","2**","다가구","25m미만","211.87","175","201607","2","57,800","1974","오패산로",""
"서울특별시 강북구 미아동","1**","다가구","12m미만","241.84","175.4","201605","30","65,600","1989","도봉로54길",""
"서울특별시 강북구 미아동","4**","다가구","12m미만","299.08","194","201606","1","84,500","1975","솔샘로64나길",""
"서울특별시 강북구 미아동","7**","다가구","8m미만","245.61","208","201610","20","56,700","1992","인수봉로20가길",""
