"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20160101 ~ 20161231"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 강북구"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강북구 미아동","716-3","0716","0003","(716-3)","49.34","34","201607","26","14,500","1","1991","솔샘로53길 18-4",""
"서울특별시 강북구 미아동","734-145","0734","0145","(734-145)","42.53","28.79","201611","10","21,450","5","2015","삼양로38길 21-4",""
"서울특별시 강북구 미아동","791-1496","0791","1496","(791-1496)","41.79","32.15","201604","26","10,000","1","1986","솔매로7길 2",""
"서울특별시 강북구 미아동","791-1799","0791","1799","(791-1799)","50.21","17.8","201601","15","12,500","3","2002","인수봉로17길 6-3",""
"서울특별시 강북구 미아동","791-1799","0791","1799","(791-1799)","51.7","18.3","201606","21","15,000","3","2002","인수봉로17길 6-3",""
"서울특별시 강북구 미아동","791-1934","0791","1934","(791-1934)","63.81","92","201606","3","20,500","1","1977","인수봉로6길 59-17",""
"서울특별시 강북구 미아동","791-2028","0791","2028","(791-2028)","39.67","42.47","201611","16","10,000","-1","1978","인수봉로6길 16-6",""
"서울특별시 강북구 미아동","791-2080","0791","2080","(791-2080)","34.98","25.37","201605","30","7,050","1","1993","솔샘로 203-26",""
"서울특별시 강북구 미아동","791-2741","0791","2741","(791-2741)","46.71","28.29","201601","20","12,800","3","2012","인수봉로6길 16-3",""
"서울특별시 강북구 미아동","791-2741","0791","2741","(791-2741)","47.7","28.89","201602","29","14,800","5","2012","인수봉로6길 16-3",""
"서울특별시 강북구 미아동","791-2741","0791","2741","(791-2741)","56.31","34.1","201604","29","15,400","5","2012","인수봉로6길 16-3",""
"서울특별시 강북구 미아동","791-2972","0791","2972","(791-2972)","31.03","20.25","201604","15","9,000","1","2009","솔매로7다길 33",""
"서울특별시 강북구 미아동","791-407","0791","0407","(791-407)","39.01","29.79","201607","28","16,200","2","1986","삼양로60가길 10-6",""
"서울특별시 강북구 미아동","8-58","0008","0058","(8-58)","68.66","67.75","201606","11","17,300","1","1977","월계로21길 15-3",""
"서울특별시 강북구 미아동","83-1","0083","0001","(83-1)","63.9","94.52","201602","22","24,000","2","1987","오패산로30길 21-4",""
"서울특별시 강북구 미아동","839-42","0839","0042","(839-42)","45.54","26.4","201606","23","13,500","2","1992","솔샘로47가길 5",""
"서울특별시 강북구 미아동","84-72","0084","0072","(84-72)","83.52","70.1","201607","6","16,800","-1","1986","오패산로38길 17-9",""
"서울특별시 강북구 미아동","87-12","0087","0012","(87-12)","47.22","31.81","201601","28","13,900","1","1986","오현로8길 6",""
"서울특별시 강북구 미아동","87-12","0087","0012","(87-12)","47.22","31.81","201602","26","14,000","1","1986","오현로8길 6",""
"서울특별시 강북구 미아동","87-12","0087","0012","(87-12)","47.22","31.81","201611","22","14,850","2","1986","오현로8길 6",""
"서울특별시 강북구 미아동","222-23","0222","0023","Hi-Castle","24.89","17.28","201607","6","15,800","2","2016","도봉로57길 34-2",""
"서울특별시 강북구 미아동","222-23","0222","0023","Hi-Castle","37.19","25.83","201607","16","21,000","2","2016","도봉로57길 34-2",""
"서울특별시 강북구 미아동","222-23","0222","0023","Hi-Castle","24.89","17.28","201608","1","16,100","3","2016","도봉로57길 34-2",""
"서울특별시 강북구 미아동","791-3797","0791","3797","SM빌라바동","62.34","23.93","201604","4","15,500","2","2014","인수봉로19가길 3",""
"서울특별시 강북구 미아동","791-3797","0791","3797","SM빌라바동","62.58","24.03","201606","2","16,200","3","2014","인수봉로19가길 3",""
"서울특별시 강북구 미아동","791-678","0791","0678","거림아트빌라","53.36","33","201605","4","18,600","4","1994","솔매로33길 12",""
"서울특별시 강북구 미아동","158-74","0158","0074","거유주택","53.34","23.47","201606","29","15,500","-1","1994","도봉로76길 35",""
"서울특별시 강북구 미아동","5-23","0005","0023","경남빌라C","73.23","40.01","201606","23","24,000","3","2004","오패산로30길 68",""
"서울특별시 강북구 미아동","5-32","0005","0032","경남빌라E","58.41","33.67","201607","21","20,000","2","2004","오패산로30길 60",""
"서울특별시 강북구 미아동","3-419","0003","0419","경안빌라","71.75","37.18","201609","12","19,870","4","2002","오현로9라길 26",""
"서울특별시 강북구 미아동","3-419","0003","0419","경안빌라","71.47","37.03","201611","17","20,838","4","2002","오현로9라길 26",""
"서울특별시 강북구 미아동","3-419","0003","0419","경안빌라","66.26","34.33","201611","17","23,168","5","2002","오현로9라길 26",""
