date,month,최고 기온(°C),평균 기온(°C),최소 상대습도(%),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),풍정합(100m),최대 순간풍속 풍향(16방위),최저 해면기압 시각(hhmi),최대 순간풍속 시각(hhmi),창경궁
201808,8,33.30322580645161,28.761290322580656,45.16129032258065,64.71935483870966,12.6625,1.6903225806451612,7.5,1450.741935483871,213.5483870967742,1366.3548387096773,1417.6774193548388,21776
201809,9,26.04,21.496666666666666,38.9,60.66,5.708333333333333,1.5633333333333332,7.290000000000001,1347.4333333333334,177.0,1273.8666666666666,1429.4,126902
201810,10,18.612903225806456,13.05483870967742,34.354838709677416,59.348387096774175,10.954545454545455,1.5451612903225809,7.803225806451613,1329.9032258064517,246.7741935483871,1026.0645161290322,1440.5806451612902,93826
201811,11,13.153333333333336,7.793333333333335,32.733333333333334,57.47999999999999,8.78888888888889,1.3966666666666663,5.92,1209.1666666666667,254.33333333333334,1250.8,1440.0666666666666,70895
201812,12,4.087096774193548,-0.6064516129032259,26.483870967741936,45.75806451612903,2.733333333333334,1.803225806451613,6.4483870967741925,1561.1290322580646,261.2903225806452,1186.9032258064517,1248.7096774193549,20647
201901,1,4.087096774193548,-0.896774193548387,25.70967741935484,45.58387096774193,0.0,1.8193548387096776,6.935483870967741,1572.3870967741937,276.1290322580645,1480.1290322580646,1296.9032258064517,32591
201902,2,6.046428571428572,0.9857142857142855,26.0,47.31071428571427,2.644444444444444,1.8428571428571427,6.803571428571429,1600.9642857142858,250.0,1292.0357142857142,1387.25,68948
201903,3,12.445161290322583,7.093548387096774,25.838709677419356,51.303225806451614,2.68,2.087096774193548,6.574193548387096,1794.8064516129032,260.96774193548384,1071.225806451613,1539.225806451613,54559
201904,4,17.639999999999997,12.120000000000001,27.366666666666667,50.943333333333335,3.6384615384615375,1.8766666666666665,7.386666666666667,1617.9333333333334,216.66666666666666,1313.1666666666667,1446.7333333333333,100571
201905,5,25.641935483870967,19.419354838709676,24.774193548387096,46.48709677419355,5.3999999999999995,2.0580645161290323,10.129032258064516,1777.7096774193549,246.7741935483871,1402.3870967741937,1505.2903225806451,94260
201906,6,27.706666666666663,22.503333333333334,38.63333333333333,60.60666666666666,5.2857142857142865,1.7366666666666668,7.836666666666667,1505.2,224.0,1341.9666666666667,1597.4666666666667,52225
201907,7,30.087096774193547,25.877419354838707,50.03225806451613,69.09354838709676,10.231578947368419,1.8290322580645166,4.841935483870966,1581.6129032258063,203.8709677419355,1132.0645161290322,1476.3225806451612,30092
201908,8,31.635483870967736,27.190322580645162,44.645161290322584,68.51612903225805,12.7,1.5903225806451615,7.976666666666664,1369.741935483871,216.1290322580645,1165.0967741935483,1440.774193548387,55413
201909,9,27.100000000000005,22.64333333333333,44.13333333333333,65.27,10.753846153846155,2.183333333333333,5.63,1885.1666666666667,221.66666666666666,1257.1,1315.1333333333334,88586
201910,10,21.767741935483876,16.370967741935484,38.935483870967744,62.16451612903224,7.92857142857143,2.129032258064516,7.629032258064515,1841.3870967741937,211.93548387096774,1163.6129032258063,1386.3548387096773,92701
201911,11,12.933333333333334,7.579999999999999,33.13333333333333,55.899999999999984,9.85,2.1666666666666665,6.773333333333335,1868.5666666666666,245.0,1115.8333333333333,1235.2,85831
201912,12,5.274193548387096,1.4161290322580642,37.12903225806452,57.754838709677415,1.1894736842105265,2.125806451612903,5.296774193548389,1840.1935483870968,231.93548387096774,1176.258064516129,1210.7096774193549,24830
