date,month,최고 기온(°C),평균 기온(°C),최소 상대습도(%),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최대 순간풍속 풍향(16방위),최대 풍속(m/s),평균 상대습도 시각(hhmi),합계 일사량(MJ/m2),창덕궁
201505,5,24.887096774193544,18.883870967741935,30.35483870967742,52.78064516129031,4.128571428571428,2.9548387096774205,9.367741935483874,255.48387096774192,6.170967741935482,1325.1935483870968,19.450000000000003,187128
201506,6,29.463333333333335,23.586666666666666,35.4,59.80999999999998,8.25,2.546666666666667,8.603333333333333,216.0,5.8,1334.1666666666667,18.283448275862067,39425
201507,7,30.0258064516129,25.83548387096775,50.38709677419355,71.15483870967742,14.125,2.8419354838709676,5.680645161290323,180.32258064516128,5.567741935483871,1262.4516129032259,13.821290322580646,109725
201508,8,30.78709677419355,26.26774193548387,45.96774193548387,69.7741935483871,4.288235294117648,2.3967741935483873,6.677419354838711,212.58064516129033,5.348387096774194,1369.1612903225807,14.075161290322576,102114
201509,9,28.07666666666666,22.389999999999993,34.4,56.20666666666666,5.2,2.303333333333333,8.736666666666666,188.66666666666666,4.806666666666667,1413.4,15.291,100310
201510,10,21.219354838709677,15.506451612903223,33.32258064516129,60.358064516129026,11.642857142857142,2.3129032258064512,7.7322580645161265,257.0967741935484,5.280645161290322,1419.8064516129032,11.586129032258064,189933
201511,11,12.739999999999998,8.900000000000002,53.8,73.28333333333332,6.973333333333333,2.6699999999999995,3.6333333333333337,179.0,5.036666666666667,1267.0666666666666,5.930999999999999,126038
201512,12,5.996774193548388,1.5935483870967744,38.74193548387097,59.864516129032246,2.6454545454545455,2.3451612903225807,5.73548387096774,162.25806451612902,4.680645161290323,1173.6774193548388,6.6564516129032265,59738
201601,1,1.125806451612903,-3.2000000000000006,33.064516129032256,53.04516129032256,0.16666666666666666,2.4774193548387093,6.325806451612904,251.29032258064515,4.916129032258065,1354.8709677419354,7.952258064516128,49472
201602,2,5.075862068965518,0.19310344827586204,30.724137931034484,52.051724137931025,3.966666666666667,2.7551724137931037,6.73103448275862,275.51724137931035,5.613793103448275,1420.4827586206898,9.945862068965516,62740
201603,3,12.612903225806454,7.0451612903225795,28.225806451612904,51.01612903225805,6.750000000000001,2.4419354838709677,8.183870967741935,294.83870967741933,5.10967741935484,1387.1290322580646,13.96,77620
201604,4,20.316666666666666,14.066666666666665,30.533333333333335,54.756666666666646,6.9818181818181815,2.4200000000000004,7.316666666666667,246.66666666666666,5.4399999999999995,1311.9,15.346666666666664,186302
201605,5,25.687096774193545,19.558064516129033,31.225806451612904,56.21935483870967,14.590909090909092,2.3677419354838714,9.035483870967743,250.32258064516128,5.148387096774194,1313.6129032258063,19.178709677419356,181421
201606,6,28.680000000000003,23.596666666666668,41.1,62.86666666666665,4.533333333333334,2.13,7.656666666666667,243.66666666666666,4.896666666666666,1385.4333333333334,16.935666666666666,95232
201607,7,29.82258064516129,26.235483870967744,54.064516129032256,72.86129032258064,17.057142857142857,2.148387096774193,5.174193548387096,181.93548387096774,4.390322580645161,1289.7096774193549,13.00032258064516,56511
201608,8,32.63548387096775,27.99677419354839,41.67741935483871,63.88387096774194,4.19375,2.0580645161290323,7.616129032258065,263.5483870967742,4.635483870967742,1385.967741935484,15.098387096774196,59729
201609,9,27.88999999999999,23.083333333333332,43.63333333333333,64.51333333333334,4.714285714285714,1.9633333333333336,6.386666666666668,190.66666666666666,4.25,1408.7666666666667,12.364000000000003,140097
201610,10,21.309677419354838,16.080645161290327,40.45161290322581,62.232258064516124,7.4799999999999995,2.1193548387096772,6.31290322580645,187.09677419354838,4.329032258064517,1321.3225806451612,10.26258064516129,182621
201611,11,11.606666666666667,6.7733333333333325,37.53333333333333,56.77999999999998,1.04375,2.223333333333333,5.7766666666666655,223.0,4.616666666666666,1299.9333333333334,7.8343333333333325,143481
201612,12,5.8,1.2451612903225806,40.096774193548384,59.15806451612903,4.364285714285715,2.225806451612903,5.367741935483871,182.25806451612902,4.541935483870968,1437.6451612903227,6.624193548387095,52082
201701,1,2.916129032258064,-1.8290322580645162,35.064516129032256,54.606451612903214,1.146153846153846,2.3,6.741935483870967,233.5483870967742,4.84516129032258,1270.8387096774193,8.261612903225807,56789
201702,2,4.80357142857143,-0.2464285714285713,30.285714285714285,53.664285714285704,1.8499999999999999,2.4464285714285707,7.5,249.64285714285714,5.035714285714286,1334.892857142857,11.137857142857147,50218
201703,3,12.309677419354838,6.325806451612903,25.129032258064516,48.103225806451604,0.9875,2.367741935483872,8.23225806451613,262.258064516129,5.432258064516129,1402.774193548387,14.351612903225806,72277
201704,4,19.949999999999996,13.933333333333335,27.666666666666668,52.373333333333335,6.16,2.55,8.656666666666665,225.0,5.766666666666665,1275.7666666666667,17.461071428571426,168988
201705,5,25.435483870967737,19.490322580645163,30.419354838709676,52.28709677419353,2.3000000000000003,2.4290322580645163,9.725806451612904,249.03225806451613,5.483870967741938,1406.225806451613,20.817741935483873,146783
201706,6,28.75,23.273333333333333,33.46666666666667,56.60333333333333,5.123076923076923,2.3733333333333335,9.506666666666666,247.33333333333334,5.136666666666668,1462.1333333333334,20.842333333333336,80358
201707,7,30.393548387096775,26.922580645161293,59.67741935483871,77.1774193548387,27.0,2.0,3.970967741935484,191.93548387096774,4.493548387096773,1288.741935483871,12.105483870967742,52737
201708,8,29.654838709677428,25.916129032258066,50.83870967741935,70.81935483870967,15.631578947368421,2.2548387096774194,5.361290322580647,159.3548387096774,4.54516129032258,1300.9032258064517,13.260967741935485,65016
201709,9,27.433333333333326,22.10333333333334,39.1,60.929999999999986,3.888888888888889,1.9800000000000002,8.058620689655173,181.66666666666666,4.196666666666667,1409.0333333333333,14.841000000000003,99431
