date,month,최고 기온(°C),평균 기온(°C),최소 상대습도(%),평균 상대습도(%),일강수량(mm),평균 풍속(m/s),합계 일조 시간(hr),최다 풍향(16방위),최대 순간풍속 풍향(16방위),평균 중기압(hPa),최저 해면기압(hPa),국립중앙박물관
201405,5,25.251612903225798,18.94516129032258,32.83870967741935,59.05806451612903,7.0,3.203225806451613,9.806451612903226,234.83870967741936,238.06451612903226,12.619354838709679,1007.6451612903223,338536
201406,6,27.770000000000003,23.06333333333333,49.06666666666667,72.80666666666666,7.007142857142858,2.603333333333333,6.163333333333332,187.33333333333334,216.66666666666666,20.036666666666658,1004.4266666666666,305438
201407,7,30.63548387096775,26.148387096774194,50.58064516129032,74.23548387096774,17.325,2.75483870967742,5.570967741935485,204.83870967741936,219.3548387096774,24.64193548387097,1004.7290322580644,376891
201408,8,28.951612903225815,25.164516129032265,57.225806451612904,77.19354838709677,8.639999999999999,2.4483870967741943,4.861290322580646,117.41935483870968,147.41935483870967,24.232258064516135,1006.1483870967742,551234
201409,9,26.98333333333334,22.063333333333336,44.9,68.5,9.788888888888888,2.0800000000000005,7.1433333333333335,130.33333333333334,163.33333333333334,17.779999999999998,1011.2066666666666,192611
201410,10,21.416129032258063,15.635483870967743,38.70967741935484,63.15806451612902,8.700000000000001,2.441935483870968,7.735483870967743,106.7741935483871,197.74193548387098,11.138709677419353,1017.3580645161293,241780
201411,11,13.78666666666667,8.953333333333335,40.1,60.933333333333344,4.15,2.466666666666667,6.47,155.66666666666666,223.0,7.14,1019.1466666666666,197616
201412,12,1.4967741935483871,-2.919354838709677,36.70967741935484,56.26129032258062,1.11875,2.848387096774193,6.309677419354838,204.51612903225808,226.4516129032258,2.938709677419354,1021.2451612903228,258781
201501,1,3.5838709677419356,-0.9354838709677418,37.61290322580645,56.364516129032275,1.4124999999999999,2.6483870967741923,6.235483870967739,196.1290322580645,220.6451612903226,3.4290322580645154,1021.5290322580645,339073
201502,2,5.960714285714286,1.0428571428571425,34.92857142857143,58.942857142857136,2.8375,2.8678571428571433,6.42857142857143,201.07142857142858,232.5,4.071428571428571,1019.407142857143,214923
201503,3,12.44516129032258,6.290322580645161,22.35483870967742,45.174193548387095,1.5999999999999999,3.0838709677419347,8.735483870967744,232.25806451612902,250.96774193548387,4.422580645161291,1018.483870967742,165430
201504,4,18.826666666666664,13.326666666666664,32.233333333333334,54.38666666666665,5.03125,3.12,7.199999999999999,149.33333333333334,188.33333333333334,7.99,1012.8233333333335,205569
